# Created by ProbestationMeasurement - Martin Friedl
# 2015-04-09 11:48:11
# Delay(init): 10ms, delay(after set): 0ms, delay(bef.read): 0ms, np. of points: 1ms, np. of measurements: 1, np. of setpoints: 10, 10

# LifeTest
# Read Device 0 - KEITHLEY INSTRUMENTS INC.,MODEL 6487,1215030,A06   Jun 20 2006 15:08:40/A02  /C/G@GPIB0::22,  --
# Read Device 1 - KEITHLEY INSTRUMENTS INC.,MODEL 6487,1169708,A06   Jun 20 2006 15:08:40/A02  /C/F@GPIB0::12,  --
# Set Device 0 - KEITHLEY INSTRUMENTS INC.,MODEL 6487,1169708,A06   Jun 20 2006 15:08:40/A02  /C/F@GPIB0::12,  --
Vgs	Vds	Is	t	R	P
V	V	A	s	ohms	W
K6487/K6517A	K6487/K6517A	K6487/K6517A	Time	Resistance	Power
0.000000e+00	0.000000e+00	2.619345e-10	4.226000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	3.201421e-10	4.290000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	3.201421e-10	4.359000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	2.619345e-10	4.436000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	2.328306e-10	4.550000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	3.201421e-10	4.615000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	3.492460e-10	4.683000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	4.074536e-10	4.757000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	2.328306e-10	4.822000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	3.492460e-10	4.887000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	3.201421e-10	4.957000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	3.201421e-10	5.026000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	2.328306e-10	5.091000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	2.328306e-10	5.158000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	2.328306e-10	5.272000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	2.619345e-10	5.342000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	3.492460e-10	5.408000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	3.492460e-10	5.477000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	2.619345e-10	5.553000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	4.074536e-10	5.625000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	3.492460e-10	5.690000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	2.328306e-10	5.757000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	2.619345e-10	5.828000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	3.783498e-10	5.911000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	3.492460e-10	6.022000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	4.365575e-10	6.092000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	3.492460e-10	6.159000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	2.619345e-10	6.230000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	2.619345e-10	6.297000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	2.328306e-10	6.362000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	3.492460e-10	6.432000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	2.619345e-10	6.502000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	4.074536e-10	6.573000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	2.619345e-10	6.637000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	3.492460e-10	6.748000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	3.492460e-10	6.825000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	2.910383e-10	6.895000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	3.201421e-10	6.967000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	3.492460e-10	7.033000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	4.074536e-10	7.103000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	3.492460e-10	7.173000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	2.910383e-10	7.251000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	2.619345e-10	7.316000e+00	0.000000e+00	0.000000e+00	
0.000000e+00	0.000000e+00	3.492460e-10	7.385000e+00	0.000000e+00	0.000000e+00	
